addr,opcode
004010d4,CALL
004010d9,JMP
004010de,PUSH
004010df,MOV
004010e1,SUB
004010e4,XOR
004010e6,PUSH
004010e7,MOV
004010ec,CMP
004010f2,JZ
004010f4,CMP
004010fa,JNZ
00401100,PUSH
00401101,PUSH
00401102,PUSH
00401103,PUSH
00401105,CALL
0040110b,PUSH
0040110c,CALL
00401112,LEA
00401115,PUSH
00401116,CALL
0040111c,MOV
0040111f,XOR
00401122,CALL
00401128,XOR
0040112a,CALL
00401130,XOR
00401132,CALL
00401138,XOR
0040113a,LEA
0040113d,PUSH
0040113e,CALL
00401144,MOV
00401147,XOR
0040114a,XOR
0040114c,LEA
0040114f,PUSH
00401150,PUSH
00401152,PUSH
00401154,PUSH
00401159,CALL
0040115f,MOV
00401165,TEST
00401167,JZ
0040116d,LEA
00401170,PUSH
00401171,PUSH
00401174,MOV
00401179,PUSH
0040117b,PUSH
0040117c,CALL
00401182,PUSH
00401184,PUSH
00401185,CALL
0040118a,MOV
0040118f,NOT
00401191,MOV
00401196,POP
00401197,POP
00401198,LEAVE
00401199,RET
0040119a,JMP
004011a0,PUSH
004011a2,PUSH
004011a7,CALL
004011ac,XOR
004011ae,MOV
004011b1,LEA
004011b4,PUSH
004011b5,CALL
004011bb,CMP
004011c1,JNZ
004011c3,PUSH
004011c4,PUSH
004011c5,PUSH
004011c7,PUSH
004011c8,CALL
004011ce,MOV
004011d1,MOV
004011d7,MOV
004011da,MOV
004011dd,MOV
004011e2,PUSH
004011e3,PUSH
004011e4,PUSH
004011e5,CALL
004011eb,CMP
004011ed,JNZ
004011f3,XOR
004011f5,INC
004011f6,MOV
004011fb,CMP
004011fd,JZ
00401203,MOV
00401208,TEST
0040120a,JNZ
00401210,MOV
00401216,PUSH
0040121b,PUSH
00401220,CALL
00401225,POP
00401226,POP
00401227,TEST
00401229,JNZ
0040122f,MOV
00401234,CMP
00401236,JNZ
00401238,PUSH
0040123d,PUSH
00401242,CALL
00401247,POP
00401248,POP
00401249,MOV
00401253,CMP
00401256,JNZ
00401258,PUSH
00401259,PUSH
0040125a,CALL
00401260,CMP
00401266,JNZ
0040126c,MOV
00401271,MOV
00401273,NOP
00401274,NOP
00401275,NOP
00401276,NOP
00401277,NOP
00401278,NOP
00401279,NOP
0040127a,NOP
0040127b,NOP
0040127c,NOP
0040127d,NOP
0040127e,NOP
0040127f,NOP
00401280,MOV
00401283,MOV
00401285,CMP
00401287,JBE
0040128d,CMP
0040128f,JZ
00401295,MOVZX
00401298,PUSH
00401299,CALL
0040129f,POP
004012a0,TEST
004012a2,JNZ
004012a8,INC
004012a9,JMP
004012e4,PUSH
004012e9,PUSH
004012f0,MOV
004012f4,MOV
004012f8,LEA
004012fc,SUB
004012fe,PUSH
004012ff,PUSH
00401300,PUSH
00401301,MOV
00401306,XOR
00401309,XOR
0040130b,PUSH
0040130c,MOV
0040130f,PUSH
00401312,MOV
00401315,MOV
0040131c,MOV
0040131f,LEA
00401322,MOV
00401328,RET
00401329,JMP
00401441,JMP
0040148e,MOV
00401490,PUSH
00401491,MOV
00401493,PUSH
00401496,CALL
0040149b,NEG
0040149d,SBB
0040149f,NEG
004014a1,POP
004014a2,DEC
004014a3,POP
004014a4,RET
004014a5,PUSH
004014a7,PUSH
004014ac,CALL
004014b1,PUSH
004014b7,MOV
004014bd,CALL
004014bf,MOV
004014c2,CMP
004014c5,JNZ
004014cb,PUSH
004014ce,CALL
004014d4,POP
004014d5,CALL
004014da,RET
004014fc,MOV
004014ff,MOV
00401506,POP
00401507,POP
00401508,POP
00401509,POP
0040150a,POP
0040150b,MOV
0040150d,POP
0040150e,PUSH
0040150f,RET
00401510,XOR
00401512,CMP
00401515,SETZ
00401518,MOV
0040151b,JMP
00401520,CMP
00401522,JZ
00401524,CMP
00401527,JNZ
0040152d,MOV
0040152f,CMP
00401531,JZ
00401533,CMP
00401535,JA
00401537,INC
00401538,MOV
0040153b,JMP
0040153d,TEST
00401541,JZ
00401547,MOVZX
0040154b,PUSH
0040154c,PUSH
0040154d,PUSH
0040154e,PUSH
00401553,CALL
00401558,JMP
0040155d,PUSH
0040155e,MOV
00401560,PUSH
00401561,PUSH
00401563,PUSH
00401565,PUSH
0040156a,CALL
0040156f,MOV
00401571,TEST
00401573,JZ
00401579,PUSH
0040157a,PUSH
0040157b,MOV
00401581,PUSH
00401586,PUSH
00401587,CALL
00401589,MOV
0040158b,TEST
0040158d,JZ
0040158f,PUSH
00401594,PUSH
00401595,CALL
00401597,PUSH
0040159c,PUSH
0040159d,MOV
004015a2,CALL
004015a4,CMP
004015ab,MOV
004015b0,JZ
004015b2,TEST
004015b4,JZ
004015b6,PUSH
004015b9,PUSH
004015bc,PUSH
004015bf,PUSH
004015c2,CALL
004015c4,XOR
004015c6,POP
004015c7,POP
004015c8,POP
004015c9,POP
004015ca,RET
004015cd,XOR
004015cf,INC
004015d0,JMP
00401607,PUSH
00401608,MOV
0040160a,PUSH
0040160b,PUSH
0040160c,MOV
0040160f,MOV
00401611,AND
00401614,OR
00401619,PUSH
0040161a,PUSH
0040161d,PUSH
00401620,CALL
00401626,MOV
00401628,TEST
0040162a,JZ
00401630,POP
00401631,MOV
00401633,POP
00401634,POP
00401635,RET
00401650,PUSH
00401652,POP
00401653,JMP
00401658,MOV
0040165e,JMP
00401663,PUSH
00401668,CALL
0040166d,MOV
0040166f,TEST
00401671,JNZ
00401677,CALL
0040167d,XOR
0040167f,INC
00401680,JMP
004016d6,CALL
004016dc,CMP
004016df,JNZ
004016e5,PUSH
004016ea,PUSH
004016ef,CALL
004016f5,PUSH
004016f6,CALL
004016fc,TEST
004016fe,JNZ
00401704,AND
0040170a,PUSH
0040170b,PUSH
0040170e,PUSH
00401711,CALL
00401717,MOV
00401719,JMP
0040174a,MOV
00401750,JMP
00401762,CMP
00401764,JNZ
00401766,XOR
00401768,INC
00401769,MOV
0040176c,JMP
00401771,PUSH
00401776,CALL
0040177c,JMP
00401781,PUSH
00401783,CALL
00401788,POP
00401789,JMP
0040178e,MOV
00401795,MOV
0040179a,JMP
0040179f,PUSH
004017a4,CALL
004017a9,POP
004017aa,TEST
004017ac,JZ
004017b2,PUSH
004017b3,PUSH
004017b5,PUSH
004017b6,CALL
004017bc,JMP
004017c1,MOV
004017c6,CMP
004017cc,JNZ
004017ce,PUSH
004017cf,CALL
004017d5,JMP
004017da,INC
004017db,MOV
004017de,JMP
00401813,CMP
00401819,JNZ
0040181b,CALL
00401821,MOV
00401828,MOV
0040182d,CALL
00401832,RET
00401852,PUSH
00401854,CALL
00401859,POP
0040185a,AND
0040185e,PUSH
00401864,CALL
00401866,MOV
00401869,PUSH
0040186f,CALL
00401871,MOV
00401874,LEA
00401877,PUSH
00401878,LEA
0040187b,PUSH
0040187c,PUSH
0040187f,MOV
00401885,CALL
00401887,PUSH
00401888,CALL
0040188d,ADD
00401890,MOV
00401893,PUSH
00401896,CALL
00401898,MOV
0040189d,PUSH
004018a0,CALL
004018a2,MOV
004018a7,MOV
004018ae,CALL
004018b3,MOV
004018b6,JMP
004018bb,PUSH
004018bd,CALL
004018c2,POP
004018c3,RET
00401934,PUSH
00401935,MOV
00401937,POP
00401938,JMP
0040193e,JMP
00401944,PUSH
00401945,MOV
00401947,SUB
0040194d,MOV
00401952,XOR
00401954,MOV
00401957,MOV
0040195a,PUSH
0040195b,PUSH
0040195c,MOV
00401962,XOR
00401964,PUSH
00401965,MOV
0040196c,PUSH
00401971,LEA
00401977,PUSH
00401978,CALL
0040197e,TEST
00401980,JZ
00401986,CMP
0040198b,JA
00401991,PUSH
00401993,POP
00401994,CMP
0040199c,JZ
0040199e,MOV
004019a6,LEA
004019ad,CMP
004019b2,JNC
004019b8,XOR
004019ba,MOV
004019c2,PUSH
004019c4,MOV
004019c9,PUSH
004019ca,LEA
004019d0,PUSH
004019d5,PUSH
004019d6,CALL
004019dc,ADD
004019df,PUSH
004019e1,XOR
004019e3,PUSH
004019e4,LEA
004019ea,PUSH
004019eb,CALL
004019f0,MOV
004019f2,TEST
004019f4,JNZ
004019f6,PUSH
004019f7,PUSH
004019f8,PUSH
004019f9,CALL
004019fe,MOV
00401a00,TEST
00401a02,JZ
00401a04,MOV
00401a0a,PUSH
00401a0f,PUSH
00401a10,CALL
00401a12,PUSH
00401a17,PUSH
00401a18,MOV
00401a1a,CALL
00401a1c,MOV
00401a1e,TEST
00401a20,JNZ
00401a22,PUSH
00401a23,CALL
00401a29,XOR
00401a2b,MOV
00401a2e,POP
00401a2f,POP
00401a30,XOR
00401a32,POP
00401a33,CALL
00401a38,LEAVE
00401a39,RET
00401a3c,CALL
00401a41,MOV
00401a47,TEST
00401a49,JZ
00401a4b,TEST
00401a4d,JZ
00401a4f,LEA
00401a52,PUSH
00401a53,PUSH
00401a54,CALL
00401a56,XOR
00401a58,TEST
00401a5a,JNZ
00401a5c,LEA
00401a62,PUSH
00401a63,LEA
00401a69,PUSH
00401a6a,PUSH
00401a6b,PUSH
00401a6c,LEA
00401a6f,PUSH
00401a70,PUSH
00401a71,PUSH
00401a76,PUSH
00401a7b,MOV
00401a85,CALL
00401a87,TEST
00401a89,JZ
00401a8b,CMP
00401a90,JNZ
00401a92,JMP
00401a94,XOR
00401a96,LEA
00401a9c,PUSH
00401a9d,LEA
00401aa3,PUSH
00401aa4,PUSH
00401aa5,PUSH
00401aa6,PUSH
00401aa7,PUSH
00401aa8,PUSH
00401aad,PUSH
00401ab2,MOV
00401abc,CALL
00401abe,TEST
00401ac0,JNZ
00401ac6,PUSH
00401ac7,PUSH
00401ac8,LEA
00401ace,PUSH
00401acf,CALL
00401ad4,PUSH
00401ad5,MOV
00401ad7,CALL
00401add,MOV
00401adf,JMP
00401b76,CMP
00401b7c,JNZ
00401b7e,RET
00401b7f,MOV
00401b81,PUSH
00401b82,MOV
00401b84,SUB
00401b8a,MOV
00401b8f,MOV
00401b95,MOV
00401b9b,MOV
00401ba1,MOV
00401ba7,MOV
00401bad,MOV
00401bb3,MOV
00401bb9,MOV
00401bbf,MOV
00401bc5,MOV
00401bcb,MOV
00401bd1,PUSHFD
00401bd2,POP
00401bd8,MOV
00401bdb,MOV
00401be0,MOV
00401be3,MOV
00401be8,LEA
00401beb,MOV
00401bf0,MOV
00401bf6,MOV
00401c00,MOV
00401c05,MOV
00401c0a,MOV
00401c14,MOV
00401c1e,MOV
00401c23,MOV
00401c29,MOV
00401c2e,MOV
00401c34,CALL
00401c3a,MOV
00401c3f,PUSH
00401c41,CALL
00401c46,POP
00401c47,PUSH
00401c49,CALL
00401c4f,PUSH
00401c54,CALL
00401c5a,CMP
00401c61,JNZ
00401c63,PUSH
00401c65,CALL
00401c6a,POP
00401c6b,PUSH
00401c70,CALL
00401c76,PUSH
00401c77,CALL
00401c7d,LEAVE
00401c7e,RET
00401c80,PUSHAD
00401c81,XOR
00401c84,MOV
00401c89,CALL
00401c8c,IN
00401c8d,MOV
00401c90,MOV
00401c92,CMP
00401c98,JNZ
00401c9a,CMP
00401c9e,JNZ
00401ca0,MOV
00401ca3,CMP
00401ca8,JZ
00401caa,CMP
00401caf,JZ
00401cb1,CMP
00401cb6,JZ
00401cb8,CMP
00401cbd,JNZ
00401cbf,CALL
00401cc4,XOR
00401cc6,POP
00401cc7,RET
00401cca,JMP
00401d06,MOV
00401d08,PUSH
00401d09,MOV
00401d0b,MOV
00401d0e,MOV
00401d13,CMP
00401d16,JZ
00401d18,XOR
00401d1a,POP
00401d1b,RET
00401d1c,MOV
00401d1f,ADD
00401d21,CMP
00401d27,JNZ
00401d29,XOR
00401d2b,MOV
00401d30,CMP
00401d34,SETZ
00401d37,MOV
00401d39,POP
00401d3a,RET
00401d3b,MOV
00401d3d,PUSH
00401d3e,MOV
00401d40,MOV
00401d43,MOV
00401d46,ADD
00401d48,MOVZX
00401d4c,PUSH
00401d4d,PUSH
00401d4e,MOVZX
00401d52,XOR
00401d54,PUSH
00401d55,LEA
00401d59,TEST
00401d5b,JZ
00401d5d,MOV
00401d60,MOV
00401d63,CMP
00401d65,JC
00401d67,MOV
00401d6a,ADD
00401d6c,CMP
00401d6e,JC
00401d70,INC
00401d71,ADD
00401d74,CMP
00401d76,JC
00401d78,XOR
00401d7a,POP
00401d7b,POP
00401d7c,POP
00401d7d,POP
00401d7e,RET
00401d7f,MOV
00401d81,PUSH
00401d82,MOV
00401d84,PUSH
00401d86,PUSH
00401d8b,PUSH
00401d90,MOV
00401d96,PUSH
00401d97,SUB
00401d9a,PUSH
00401d9b,PUSH
00401d9c,PUSH
00401d9d,MOV
00401da2,XOR
00401da5,XOR
00401da7,PUSH
00401da8,LEA
00401dab,MOV
00401db1,MOV
00401db4,MOV
00401dbb,PUSH
00401dc0,CALL
00401dc5,ADD
00401dc8,TEST
00401dca,JZ
00401dcc,MOV
00401dcf,SUB
00401dd4,PUSH
00401dd5,PUSH
00401dda,CALL
00401ddf,ADD
00401de2,TEST
00401de4,JZ
00401de6,MOV
00401de9,SHR
00401dec,NOT
00401dee,AND
00401df1,MOV
00401df8,MOV
00401dfb,MOV
00401e02,POP
00401e03,POP
00401e04,POP
00401e05,POP
00401e06,MOV
00401e08,POP
00401e09,RET
00401e20,MOV
00401e27,XOR
00401e29,MOV
00401e2c,MOV
00401e33,POP
00401e34,POP
00401e35,POP
00401e36,POP
00401e37,MOV
00401e39,POP
00401e3a,RET
00401e5c,MOV
00401e5e,PUSH
00401e5f,MOV
00401e61,PUSH
00401e64,PUSH
00401e67,PUSH
00401e6a,PUSH
00401e6d,PUSH
00401e72,PUSH
00401e77,CALL
00401e7c,ADD
00401e7f,POP
00401e80,RET
00401e81,JMP
00401e87,JMP
00401e8d,JMP
00401e93,JMP
00401e99,JMP
00401e9f,JMP
